Title,Cites,Year,Reference,Publisher,Tag,Link,Description
Deep learning for automated diabetic retinopathy screening fused with heterogeneous data from EHRs can lead to earlier referral decisions,4, 2021,"MY Hsu, JY Chiou, JT Liu, CM Lee… - … Vision Science & …, 2021 - jov.arvojournals.org",jov.arvojournals.org, … Vision Science & …,https://jov.arvojournals.org/article.aspx?articleid=2776605,"… and improve the classification results of deep learning models (eg, the … deep learning
multimodal combining cervical images and nonimage information for cervical dysplasia diagnosis…"
Multi-label classification of retinal lesions in diabetic retinopathy for automatic analysis of fundus fluorescein angiography based on deep learning,24, 2020,"X Pan, K Jin, J Cao, Z Liu, J Wu, K You, Y Lu… - Graefe's Archive for …, 2020 - Springer",Springer, Graefe's Archive for …,https://link.springer.com/article/10.1007/s00417-019-04575-w,"… of this study would establish the foundation of precise diagnosis and treatment for DR. …
-label classification algorithms of retinal lesions in FFA images of DR based on deep learning. …"
Diabetic retinopathy grading based on a hybrid deep learning model,3, 2020,"E AbdelMaksoud, S Barakat… - … Conference on Data …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, … Conference on Data …,https://ieeexplore.ieee.org/abstract/document/9325672/,"… image analysis and multi-label (ML) classification. In this paper, we present a novel customized
CNN model to diagnose the DR grades from different color fundus images automatically …"
… and validation of a deep learning system for diabetic retinopathy and related eye diseases using retinal images from multiethnic populations with diabetes,1306, 2017,"DSW Ting, CYL Cheung, G Lim, GSW Tan, ND Quang… - Jama, 2017 - jamanetwork.com",jamanetwork.com, Jama,https://jamanetwork.com/journals/jama/article-abstract/2665775,"… Design, Setting, and Participants Diagnostic performance of a DLS for diabetic retinopathy
… years’ experience in conducting diabetic retinopathy assessment) to generate final grading. …"
Machine learning approaches for detecting diabetic retinopathy from clinical and public health records,39, 2015,"O Ogunyemi, D Kermah - AMIA annual symposium proceedings, 2015 - ncbi.nlm.nih.gov",ncbi.nlm.nih.gov, AMIA annual symposium proceedings,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4765709/,"… weak learners to produce a boosted classification output. On … of cases classified as having
diabetic retinopathy divided by … was diagnosed with diabetes (subtracting the age of diagnosis …"
Deep CNN based decision support system for detection and assessing the stage of diabetic retinopathy,79, 2018,"A Kwasigroch, B Jarzembinski… - … PhD Workshop (IIPhDW …, 2018 - ieeexplore.ieee.org",ieeexplore.ieee.org, … PhD Workshop (IIPhDW …,https://ieeexplore.ieee.org/abstract/document/8388337/,"… deep learning approach to automated diabetic retinopathy … CNN networks to diagnose the
diabetic retinopathy and its … medical classification applications that rely on deep learning: …"
Accuracy of ultrawide-field fundus ophthalmoscopy-assisted deep learning for detecting treatment-naïve proliferative diabetic retinopathy,49, 2019,"T Nagasawa, H Tabuchi, H Masumoto, H Enno… - International …, 2019 - Springer",Springer, International …,https://link.springer.com/article/10.1007/s10792-019-01074-z,"… features, and the last was a classification layer that used feature vectors of the … diagnosis
based on images alone might not be accurate and prudent. We believe that image diagnosis …"
LBP and machine learning for diabetic retinopathy detection,27, 2014,"J Calleja, L Tecuapetla, A Medina, E Bárcenas… - … and Automated Learning, 2014 - Springer",Springer, … and Automated Learning,https://link.springer.com/chapter/10.1007/978-3-319-10840-7_14,"… features is provided to machine learning algorithms to perform the classification task. In next
… color fundus photographs for diabetic retinopathy diagnosis. Investigative Opthalmology …"
Multi-retinal disease classification by reduced deep learning features,70, 2017,"R Arunkumar, P Karthigaikumar - Neural Computing and Applications, 2017 - Springer",Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-015-2059-9,"… retina-based disease diagnosis through deep learning… diabetes. According to the survey,
the 50 % of the persons who were affected by diabetes will have problem of diabetic retinopathy…"
Identifying diabetic retinopathy from oct images using deep transfer learning with artificial neural networks,24, 2019,"KT Islam, S Wijewickrema… - 2019 IEEE 32nd …, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2019 IEEE 32nd …,https://ieeexplore.ieee.org/abstract/document/8787419/,"… diagnosis of diabetic retinopathy. In recent years, various automated techniques including
… pre-trained deep learning models to perform diabetic retinopathy classification from OCT …"
Explainable end-to-end deep learning for diabetic retinopathy detection across multiple datasets,16, 2020,"M Chetoui, MA Akhloufi - Journal of Medical Imaging, 2020 - spiedigitallibrary.org",spiedigitallibrary.org, Journal of Medical Imaging,https://www.spiedigitallibrary.org/journals/Journal-of-Medical-Imaging/volume-7/issue-4/044503/Explainable-end-to-end-deep-learning-for-diabetic-retinopathy-detection/10.1117/1.JMI.7.4.044503.short,"… diagnosis (CAD) system reduces work for the clinicians, saves time and money, and improves
use of available resources. Machine learning and deep learning can … in DR classification. …"
A survey on medical image analysis in diabetic retinopathy,68, 2020,"S Stolte, R Fang - Medical image analysis, 2020 - Elsevier",Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841520301067,"… In particular, deep learning facilitates diagnosis earlier and with higher sensitivity and … to
detect and classify DR. Ultimately, we conclude that deep learning systems offer revolutionary …"
Diagnosis of diabetic retinopathy using machine learning algorithms,3, 2019,"M Rajkumar, P Charulatha, PH Bindu… - Int Res J Eng …, 2019 - academia.edu",academia.edu, Int Res J Eng …,https://www.academia.edu/download/60504384/IRJET-V6I378220190906-25681-i7alhz.pdf,"… of different retinal … diabetic retinopathy was performed using machine learning algorithms.
The main motive is to automatically classify the grade of non-proliferative diabetic retinopathy …"
Severity classification of diabetic retinopathy using an ensemble learning algorithm through analyzing retinal images,43, 2021,"N Sikder, M Masud, AK Bairagi, ASM Arif, AA Nahid… - Symmetry, 2021 - mdpi.com",mdpi.com, Symmetry,https://www.mdpi.com/2073-8994/13/4/670,"… algorithms allowed researchers to automate the diagnosis … retinal images, and the utilized
machine learning algorithm. Most researchers use deep learning methods to work with retinal …"
Diabetic retinopathy diagnosis based on convolutional neural network,3, 2020,"LAN Muhammed, SH Toman - arXiv preprint arXiv:2008.00148, 2020 - arxiv.org",arxiv.org, arXiv preprint arXiv:2008.00148,https://arxiv.org/abs/2008.00148,"… system based on deep learning technologies have achieved a … deep learning technique to
detect and diagnose the DR of … for classification healthy and unhealthy retina images based …"
Automated detection of mild and multi-class diabetic eye diseases using deep learning,59, 2020,"R Sarki, K Ahmed, H Wang, Y Zhang - Health Information Science and …, 2020 - Springer",Springer, Health Information Science and …,https://link.springer.com/article/10.1007/s13755-020-00125-5,"… Therefore, developing an automated diagnose system … Recently, the image classification
using Deep Learning (DL) … transfer learning for diabetic retinopathy fundus image classification. …"
Artificial intelligence for diabetic retinopathy screening: a review,142, 2020,"A Grzybowski, P Brona, G Lim, P Ruamviboonsuk… - Eye, 2020 - nature.com",nature.com, Eye,https://www.nature.com/articles/s41433-019-0566-0,"… intelligence (AI) using machine learning and deep learning … However, little is known about
the graders or grading criteria … intelligence and machine learning algorithms for diagnosis and …"
Automated detection of severe diabetic retinopathy using deep learning method,6, 2022,"X Zhang, D Li, Q Wei, X Han, B Zhang, H Chen… - Graefe's Archive for …, 2022 - Springer",Springer, Graefe's Archive for …,https://link.springer.com/article/10.1007/s00417-021-05402-x,"… In conclusion, we have studied the intelligent diagnosis of severe DR based on color
fundus photography, including DR grading analysis, lesion analysis, and heat map analysis. …"
A lightweight CNN for Diabetic Retinopathy classification from fundus images,88, 2020,"S Gayathri, VP Gopi, P Palanisamy - Biomedical Signal Processing and …, 2020 - Elsevier",Elsevier, Biomedical Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809420302676,"… retinal fundus images for better classification performance. The CNN output features are used
as input for different machine learning … the accuracy of diagnosis and classify the subjects …"
A deep learning model for classification of diabetic retinopathy in eye fundus images based on retinal lesion detection,1, 2021,"H Ríos, FJ Rodríguez, OJ Perdomo… - 17th International …, 2021 - spiedigitallibrary.org",spiedigitallibrary.org, 17th International …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12088/120880T/A-deep-learning-model-for-classification-of-diabetic-retinopathy-in/10.1117/12.2606319.short,"… For DR diagnosis, our model has an area-under-the-curve, sensitivity, and specificity of
0.948, 0.886, and 0.875, respectively, which competes with state-of-the-art approaches. …"
Artificial intelligence for teleophthalmology-based diabetic retinopathy screening in a national programme: an economic analysis modelling study,103, 2020,"Y Xie, QD Nguyen, H Hamzah, G Lim, V Bellemo… - The Lancet Digital …, 2020 - Elsevier",Elsevier, The Lancet Digital …,https://www.sciencedirect.com/science/article/pii/S2589750020300601,"… deep learning systems as an assistive tool to screen for … diabetic retinopathy grading using
feature-based learning might … diabetic retinopathy diagnoses and excluded diabetic macular …"
Automated diagnosis and grading of diabetic retinopathy using optical coherence tomography,36, 2018,"HS Sandhu, A Eltanboly, A Shalaby… - … & visual science, 2018 - iovs.arvojournals.org",iovs.arvojournals.org, … & visual science,https://iovs.arvojournals.org/article.aspx?articleid=2686405,"… diabetic retinopathy (NPDR) screening, we aimed to create a computer-assisted diagnostic
(CAD) … and its myriad applications to medical imaging, we sought to apply machine learning …"
Artificial intelligence in diabetic retinopathy: A natural step to the future,74, 2019,"SK Padhy, B Takkar, R Chawla… - Indian journal of …, 2019 - ncbi.nlm.nih.gov",ncbi.nlm.nih.gov, Indian journal of …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6611318/,"… Scikit learn is a machine learning library for use in python … Regardless of the type of diabetes,
all individuals diagnosed … The techniques of AI devices largely classified into following …"
Automated detection of diabetic retinopathy using machine learning classifiers,6, 2021,"KM Alabdulwahhab, W Sami, T Mehmood… - European Review for …, 2021 - researchgate.net",researchgate.net, European Review for …,https://www.researchgate.net/profile/Waqas-Sami/publication/353732838_Automated_Detection_of_Diabetic_Retinopathy_Using_Machine_Learning_Classifiers/links/610d226b1e95fe241ab3ca6d/Automated-Detection-of-Diabetic-Retinopathy-Using-Machine-Learning-Classifiers.pdf,"… of machine learning (ML) classifiers in medical science is an emerging frontier and can help
in assisted diagnosis… is to classify the DR using different ML methods on Saudi diabetic data, …"
An improved approach for detection of diabetic retinopathy using feature importance and machine learning algorithms,14, 2019,"SMA Huda, IJ Ila, S Sarder… - … on Smart Computing …, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, … on Smart Computing …,https://ieeexplore.ieee.org/abstract/document/8843676/,"… classification … diagnosis approach of Diabetic Retinopathy based on an immense and crucial
feature extracted from the DIARET-DB dataset to help people detecting diabetic retinopathy …"
A Transfer Learning Approach for Diabetic Retinopathy and Diabetic Macular Edema Severity Grading.,5, 2021,"N Nasir, N Afreen, R Patel, S Kaur… - Rev. d'Intelligence Artif …, 2021 - academia.edu",academia.edu, Rev. d'Intelligence Artif …,https://www.academia.edu/download/90578046/35.06_08.pdf,"… diabetic retinopathy diagnosis, employment of transfer learning for DR and DME classification
based on its grading … Diabetic retinopathy detection through deep learning techniques: A …"
Ensemble deep learning for diabetic retinopathy detection using optical coherence tomography angiography,51, 2020,"M Heisler, S Karst, J Lo, Z Mammo, T Yu… - … Vision Science & …, 2020 - tvst.arvojournals.org",tvst.arvojournals.org, … Vision Science & …,https://tvst.arvojournals.org/article.aspx?articleid=2764676,"… that any patient diagnosed with diabetes be screened … learning techniques together with
CNNs to classify referable DR, using OCT and OCTA images. The results of the deep learning …"
Optimal feature selection-based diabetic retinopathy detection using improved rider optimization algorithm enabled with deep learning,29, 2021,"AS Jadhav, PB Patil, S Biradar - Evolutionary intelligence, 2021 - Springer",Springer, Evolutionary intelligence,https://link.springer.com/article/10.1007/s12065-020-00400-0,"… Therefore, the number of DR diagnostic models is dependent on image evaluation approaches.
Moreover, the computer vision-based techniques are classified into end-to-end learning […"
Diabetic retinopathy detection using transfer learning and deep learning,62, 2021,"AK Gangwar, V Ravi - Evolution in Computational Intelligence, 2021 - Springer",Springer, Evolution in Computational Intelligence,https://link.springer.com/chapter/10.1007/978-981-15-5788-0_64,"… who can diagnose and treat diabetic retinopathy. However, … ResNet for diabetic retinopathy
images classification. They added … GoogleNet and AlexNet to classify the retina images. First, …"
The neural network of one-dimensional convolution-an example of the diagnosis of diabetic retinopathy,30, 2019,"Y Sun - IEEE Access, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8715401/,"… on deep learning was used to establish a diagnostic prediction model to provide data guidance
for the risk assessment of diabetic patients complicated with retinopathy … the classification …"
Diabetic retinopathy detection through artificial intelligent techniques: a review and open issues,40, 2020,"U Ishtiaq, S Abdul Kareem, ERMF Abdullah… - Multimedia Tools and …, 2020 - Springer",Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-018-7044-8,"… field of diabetic retinopathy detection using machine learning or … , classification or segmentation
of Diabetic Retinopathy. … retinopathy and generally for the diagnosis of any other medical …"
Hybrid deep learning models for diabetic retinopathy classification,2, 2022,"M Mikram, C Moujahdi, M Rhanoui, M Meddad… - … Conference On Big …, 2022 - Springer",Springer, … Conference On Big …,https://link.springer.com/chapter/10.1007/978-3-031-07969-6_13,"… diagnosis by providing a second opinion, along with being a tool for mass screening and
detection for diabetic retinopathy… Section 3 presents an overview of the diabetic retinopathy and …"
Performance Evaluation of Binary Classification of Diabetic Retinopathy through Deep Learning Techniques using Texture Feature,10, 2021,"R Adriman, K Muchtar, N Maulina - Procedia Computer Science, 2021 - Elsevier",Elsevier, Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050920324522,"… camera, one of a non-invasive diagnostic technique that … deep learning techniques for the
detection and classification tasks. ResNet, DenseNet, and DetNet are used as deep learning …"
Screening for diabetic retinopathy: new perspectives and challenges,164, 2020,"S Vujosevic, SJ Aldington, P Silva, C Hernández… - The Lancet Diabetes & …, 2020 - Elsevier",Elsevier, The Lancet Diabetes & …,https://www.sciencedirect.com/science/article/pii/S2213858719304115,"… The use of deep learning has led to substantial improvements in diabetic retinopathy … -assisted
detection, classification, and diagnosis of diabetic retinopathy vary greatly in design, …"
A SURVEY ON MACHINE AND DEEP LEARNING FOR DETECTION OF DIABETIC RETINOPATHY,2, 2020,"A Attia, Z Akhtar, SM SamirAkhrouf - ICTACT J. Image Video …, 2020 - researchgate.net",researchgate.net, ICTACT J. Image Video …,https://www.researchgate.net/profile/Samir-Akrouf/publication/347228425_A_SURVEY_ON_MACHINE_AND_DEEP_LEARNING_FOR_DETECTION_OF_DIABETIC_RETINOPATHY/links/5fd8a16a299bf140880f90fc/A-SURVEY-ON-MACHINE-AND-DEEP-LEARNING-FOR-DETECTION-OF-DIABETIC-RETINOPATHY.pdf,"… diseases diagnostic process related to diabetic retinopathy with high … machine learning and
deep learning architectures to design a hybrid scheme to identify and classify diabetic retinal …"
Application of machine learning algorithms on diabetic retinopathy,14, 2017,"R Pal, J Poray, M Sen - 2017 2nd IEEE International …, 2017 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2017 2nd IEEE International …,https://ieeexplore.ieee.org/abstract/document/8256959/,"… for diagnosis cancer disease[12]. Here we will be working on how diabetic retinopathy can
… In this work among many possible classification algorithms,we have used four algorithms …"
A Deep Learning Framework for Earlier Prediction of Diabetic Retinopathy from Fundus Photographs,1, 2022,"K Gunasekaran, R Pitchai, GK Chaitanya… - BioMed Research …, 2022 - hindawi.com",hindawi.com, BioMed Research …,https://www.hindawi.com/journals/bmri/2022/3163496/,"… The use of deep learning to diagnose diabetic retinopathy is also discussed [23]. Hardware-…
For the huge databases, there was just one diabetic retinopathy grading each photograph, …"
Diagnostic performance of deep-learning-based screening methods for diabetic retinopathy in primary care—A meta-analysis,2, 2021,"L Wewetzer, LA Held, J Steinhäuser - Plos one, 2021 - journals.plos.org",journals.plos.org, Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0255034,"… classification, the Early Treatment of Diabetic Retinopathy … The aim of this meta-analysis
was to determine the diagnostic … is that research on AI for the screening of diabetic retinopathy, …"
Automatic diabetic retinopathy grading system based on detecting multiple retinal lesions,25, S Barakat… ,"E Abdelmaksoud, S El-Sappagh, S Barakat… - IEEE …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org,Sappagh,https://ieeexplore.ieee.org/abstract/document/9328438/,"… , we derive benefits from MLC to diagnose multiple grades of diabetic retinopathy (DR)
from … ML computer-aided diagnosis (CAD) system based on deep learning technique. The …"
Detection of diabetic retinopathy using deep neural network,20, 2018,"HQ Chen, XL Zeng, Y Luo… - 2018 IEEE 23rd …, 2018 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2018 IEEE 23rd …,https://ieeexplore.ieee.org/abstract/document/8631882/,"… diagnosis method based on a deep learning algorithm to automatically diagnose DR and
divide color retinal … fundus images, and classify the images into 5 classes based on the deep …"
Automated diabetic retinopathy detection based on binocular siamese-like convolutional neural network,170, 2019,"X Zeng, H Chen, Y Luo, W Ye - IEEE Access, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8660434/,"… In this paper, a deep learning based method which is inspired by the diagnostic process of
human ophthalmologists is proposed to automatically classify the fundus photographs into 2 …"
Diabetic retinopathy diagnosis from retinal images using modified hopfield neural network,60, 2018,"DJ Hemanth, J Anitha, LH Son, M Mittal - Journal of medical systems, 2018 - Springer",Springer, Journal of medical systems,https://link.springer.com/article/10.1007/s10916-018-1111-6,"… machine learning and soft computing methods should be used to facilitate Diabetic Retinopathy
Diagnosis from Retinal … ) for abnormality classification from human retinal images. It …"
Research on deep learning in the detection and classification of diabetic retinopathy,1, 2021,"Y Miao, S Tang, P Du, Z Li - 2021 IEEE International …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9574509/,"… in the diagnosis and treatment of diabetic retinopathy. Recently, deep learning techniques
have been developed to assist in the early screening and diagnosis of diabetic retinas on a …"
Pivotal trial of an autonomous AI-based diagnostic system for detection of diabetic retinopathy in primary care offices,678, 2018,"MD Abràmoff, PT Lavin, M Birch, N Shah… - NPJ digital medicine, 2018 - nature.com",nature.com, NPJ digital medicine,https://www.nature.com/articles/s41746-018-0040-6,"… improved machine learning into these algorithms have led to higher diagnostic accuracy. …
In the worst case scenario (forcing all 40 subjects to a grading that is the opposite of the AI-…"
A survey on medical diagnosis of diabetes using machine learning techniques,79, 2019,"A Choudhury, D Gupta - Recent developments in machine learning and …, 2019 - Springer",Springer, Recent developments in machine learning and …,https://link.springer.com/chapter/10.1007/978-981-13-1280-9_6,"… A computer-assisted diagnosis is proposed in this paper on the basis of digital … of retinal
images to detect diabetic retinopathy. Classification of the grade of non-proliferative diabetic …"
An Optimized Deep Learning based Technique for Grading and Extraction of Diabetic Retinopathy Severities,4, 2021,"Q Zhang, J Luo, K Cengiz - Informatica, 2021 - informatica.si",informatica.si, Informatica,https://informatica.si/index.php/informatica/article/view/3561,"… A computer‐aided diagnostic system for detecting diabetic retinopathy in optical
coherence tomography images. Medical physics, 44(3), 914923. https://doi.org/10.1002/mp.12071. …"
Automated microaneurysms detection for early diagnosis of diabetic retinopathy: A Comprehensive review,13, 2021,"V Mayya, S Kamath, U Kulkarni - Computer Methods and Programs in …, 2021 - Elsevier",Elsevier, Computer Methods and Programs in …,https://www.sciencedirect.com/science/article/pii/S2666990021000124,"… methodologies reviewed in this article can be broadly classified into classical image
processing, conventional machine learning (ML), and deep learning (DL) based techniques. …"
Hard Exudates Detection for Diabetic Retinopathy Early Diagnosis Using Deep Learning,1, 2022,"P Leela Jancy, A Lazha, R Prabha, S Sridevi… - Sustainable …, 2022 - Springer",Springer, Sustainable …,https://link.springer.com/chapter/10.1007/978-981-16-6605-6_22,"… In this paper, the early sign of diabetic retinopathy, ie, hard exudate is classified using deep
… hard exudates classification for the early diagnosis of diabetic retinopathy using optical …"
Feasibility and patient acceptability of a novel artificial intelligence-based screening model for diabetic retinopathy at endocrinology outpatient services: a pilot …,110, 2018,"S Keel, PY Lee, J Scheetz, Z Li, MA Kotowicz… - Scientific reports, 2018 - nature.com",nature.com, Scientific reports,https://www.nature.com/articles/s41598-018-22612-2,"… of deep learning-based artificial intelligence grading of DR … improved accuracy of disease
classification (sensitivity and … The AI-based diagnostic assistive technology utilised in this …"
Artificial intelligence in diabetic retinopathy: Insights from a meta-analysis of deep learning,12, 2019,"TN Poly, M Islam, HC Yang, PA Nguyen… - … 2019: Health and …, 2019 - ebooks.iospress.nl",ebooks.iospress.nl, … 2019: Health and …,https://ebooks.iospress.nl/volumearticle/52297,"… the diagnostic values of AI in diabetic retinopathy by pooling the published studies of deep
learning … detection by image classification. Computers & Electrical Engineering, 2018. 72: p. …"
A novel approach of diabetic retinopathy early detection based on multifractal geometry analysis for OCTA macular images using support vector machine,23, 2021,"MM Abdelsalam, MA Zahran - IEEE Access, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9335918/,"… early stages of non-proliferative diabetic retinopathy diagnosis. It has the … classification
techniques had been used. Application of machine learning in the retina and diabetic retinopathy […"
Automated diabetic retinopathy detection using optical coherence tomography angiography: a pilot study,87, 2018,"HS Sandhu, N Eladawi, M Elmogy, R Keynton… - British Journal of …, 2018 - bjo.bmj.com",bjo.bmj.com, British Journal of …,https://bjo.bmj.com/content/102/11/1564.abstract,"… aided diagnostic (CAD) system to diagnose non-proliferative … and grading of DR using OCTA
and evaluate the accuracy of … images are amenable to machine learning. Second, we seek …"
An effective method for detecting and classifying diabetic retinopathy lesions based on deep learning,12, 2021,"A Erciyas, N Barışçı - Computational and Mathematical Methods in …, 2021 - hindawi.com",hindawi.com, Computational and Mathematical Methods in …,https://www.hindawi.com/journals/cmmm/2021/9928899/,"… classified using the transfer learning and attention mechanism for diabetic retinopathy grading…
Prevalence and rRisk of diabetic retinopathy when age at diagnosis is less than 30 years,” …"
ExplAIn: Explanatory artificial intelligence for diabetic retinopathy diagnosis,15, 2021,"G Quellec, H Al Hajj, M Lamard, PH Conze… - Medical Image …, 2021 - Elsevier",Elsevier, Medical Image …,https://www.sciencedirect.com/science/article/pii/S136184152100164X,"… jointly offers high classification performance and explainability, to facilitate AI deployment. …
Related machine learning frameworks are presented in Section 2. The proposed ExplAIn …"
A deep learning based pipeline for image grading of diabetic retinopathy,14, 2018,"Y Wang, GA Wang, W Fan, J Li - International Conference on Smart …, 2018 - Springer",Springer, International Conference on Smart …,https://link.springer.com/chapter/10.1007/978-3-030-03649-2_24,"… The computer-aided diagnosis has recently become more and more popular. One … use
deep learning methods to extract DR features from retinal images, and grade diabetic retinopathy …"
Design an early detection and classification for diabetic retinopathy by deep feature extraction based convolution neural network,86, 2021,"A Sungheetha, R Sharma - … of Trends in Computer Science and …, 2021 - researchgate.net",researchgate.net, … of Trends in Computer Science and …,https://www.researchgate.net/profile/Rajesh-Sharma-Rajendran/publication/352963574_Design_an_Early_Detection_and_Classification_for_Diabetic_Retinopathy_by_Deep_Feature_Extraction_based_Convolution_Neural_Network/links/60e544c3a6fdcc3486418d54/Design-an-Early-Detection-and-Classification-for-Diabetic-Retinopathy-by-Deep-Feature-Extraction-based-Convolution-Neural-Network.pdf,"… , CH Hyperparameter tuning deep learning for diabetic retinopathy fundus image
classification.IEEE … Computerassisted diagnosis for diabetic retinopathy based on fundus images …"
Early detection of diabetic retinopathy using PCA-firefly based deep learning model,193, 2020,"TR Gadekallu, N Khare, S Bhattacharya, S Singh… - Electronics, 2020 - mdpi.com",mdpi.com, Electronics,https://www.mdpi.com/633998,"… The popular diagnosis of diabetic retinopathy includes fluorescein … the classification of
diabetic retinopathy set. The dataset is collected from the publicly available UCI machine learning …"
General deep learning model for detecting diabetic retinopathy,4, 2021,"PN Chen, CC Lee, CM Liang… - BMC …, 2021 - bmcbioinformatics.biomedcentral …",bmcbioinformatics.biomedcentral …, BMC …,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-021-04005-x,"… We adopted a 2-stage training method to classify the data into normal and abnormal in …
In this article, for the multi-category diagnosis of diabetic retinopathy, we use a two-stage …"
On the value of deep learning for diagnosing diabetic retinopathy,3, 2022,"C Lahmar, A Idri - Health and Technology, 2022 - Springer",Springer, Health and Technology,https://link.springer.com/article/10.1007/s12553-021-00606-x,"… automatic binary classification of the referable diabetic retinopathy; … it provides facilities for
the diagnosis of several diseases. … analysis using Deep Learning (DL) in diabetic retinopathy, …"
Deep learning approach for diabetic retinopathy screening,48, 2016,"E Colas, A Besse, A Orgogozo… - Acta …, 2016 - Wiley Online Library",Wiley Online Library, Acta …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1755-3768.2016.0635,"… Grading is done for each eye image separately. Our algorithm performs quick and reliable
detection of anomalies in retinal images, diagnoses their stage of diabetic retinopathy and …"
Identification and visualization of the underlying independent causes of the diagnostic of diabetic retinopathy made by a deep learning classifier,6, 2018,"J de La Torre, A Valls, D Puig… - arXiv preprint arXiv …, 2018 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1809.08567,"… that use a deep learning model for classifying an … of Diabetic Retinopathy. We conclude
that only 3 independent components are enough for the differentiation and correct classification …"
Prospective evaluation of an artificial intelligence-enabled algorithm for automated diabetic retinopathy screening of 30 000 patients,50, 2021,"P Heydon, C Egan, L Bolter, R Chambers… - British Journal of …, 2021 - bjo.bmj.com",bjo.bmj.com, British Journal of …,https://bjo.bmj.com/content/105/5/723.abstract,"… AI machine learning and deep learning algorithms such as … populations with diabetes,
different human grading teams and … to be a diagnostic test capable of replacing human grading …"
Automatic diagnosis of diabetic retinopathy using machine learning: a review,3, 2020,"PL Gunawardhana, R Jayathilake… - 2020 5th …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2020 5th …,https://ieeexplore.ieee.org/abstract/document/9310818/,"… commonly used as a deep learning approach and they … Diabetic Retinopathy color fundus
image classification and detection methodologies using deep learning and machine learning …"
Diabetic retinopathy detection using convolutional nueral networks algorithm,8, 2021,"S Sridhar, J PradeepKandhasamy, M Sinthuja… - Materials today …, 2021 - Elsevier",Elsevier, Materials today …,https://www.sciencedirect.com/science/article/pii/S2214785321000821,"… faster classifications once they were trained. In this paper, we introduce CNN (Convolutional
Neural Network), a Deep Learning method to classify … for recording the diagnostic data in a …"
Performance Analysis of Deep-Neural-Network-Based Automatic Diagnosis of Diabetic Retinopathy,12, 2021,"H Tariq, M Rashid, A Javed, E Zafar, SS Alotaibi… - Sensors, 2021 - mdpi.com",mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/1/205,"… classification using deep learning and neural network techniques. Some studies have classified
the fundus images into two categories: diabetic… DR; and non-diabetic, where the person …"
Deep learning in estimating prevalence and systemic risk factors for diabetic retinopathy: a multi-ethnic study,39, 2019,"DSW Ting, CY Cheung, Q Nguyen… - NPJ digital …, 2019 - nature.com",nature.com, NPJ digital …,https://www.nature.com/articles/s41746-019-0097-x,"… The deep learning system (DLS) recently showed promising diagnostic performance for
diabetic retinopathy (DR). This study aims to use DLS as the grading tool, instead of human …"
Diagnosis of diabetic retinopathy using machine learning techniques,96, 2013,"R Priya, P Aruna - ICTACT Journal on soft computing, 2013 - core.ac.uk",core.ac.uk, ICTACT Journal on soft computing,https://core.ac.uk/download/pdf/25558366.pdf,"… In this paper, to diagnose diabetic retinopathy, three models … PNN), Bayesian Classification
and Support vector machine (SVM) … for classification of the disease diabetic retinopathy using …"
Diagnosis of diabetic retinopathy using machine learning classification algorithm,73, 2016,"K Bhatia, S Arora, R Tomar - 2016 2nd international conference …, 2016 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2016 2nd international conference …,https://ieeexplore.ieee.org/abstract/document/7877439/,"… case of diabetic retinopathy among the diabetic patients and is … to detect early symptoms of
diabetic retinopathy with ease. The … used for diagnosis and detection of diabetic eye disease. …"
